숙소명,시군구명,포함된_고유명사,포함된_고유명사(TF-IDF),장애인편의시설
그랜드 인투라온호텔 정선,정선군,"['레일바이크', '정선']","{'레일바이크': 0.176, '정선': 0.17}",X
프로방스 펜션,정선군,['정선'],{'정선': 0.478},X
메이플펜션,정선군,['정선'],{'정선': 0.337},X
하이하늘펜션,정선군,[],{},X
락있수다펜션,정선군,[],{},X
또바기콘도펜션,정선군,[],{},X
가리왕산이야기 펜션,정선군,['가리왕산'],{'가리왕산': 0.412},X
도원펜션,정선군,['가리왕산'],{'가리왕산': 0.23},X
은하수와여울 펜션,정선군,"['레일바이크', '아우라지', '정선군', '조양강']","{'레일바이크': 0.285, '아우라지': 0.209, '조양강': 0.196, '정선군': 0.17}",X
하이랜드호텔,정선군,"['강원도', '강원랜드', '만항재', '정선', '정암사', '하이원리조트']","{'정암사': 0.239, '만항재': 0.225, '하이원리조트': 0.207, '강원랜드': 0.182, '정선': 0.157, '강원도': 0.093}","경사로, 엘리베이터, 장애인 전용 객실"
해피스테이션 기차펜션,정선군,"['구절리역', '레일바이크', '정선']","{'정선': 0.229, '구절리역': 0.174, '레일바이크': 0.119}",X
달빛마을,정선군,"['강원도', '서울']","{'서울': 0.375, '강원도': 0.202}",X
물소리바람소리펜션,정선군,"['강원도', '정선']","{'정선': 0.159, '강원도': 0.094}",X
한탄리버스파호텔,철원군,"['고석정', '철원']","{'고석정': 0.116, '철원': 0.105}","휠체어 이용 가능
계단 없는 주 출입구"
그린모텔,철원군,"['고석정', '동송읍', '철원', '철원군', '한탄강']","{'고석정': 0.343, '동송읍': 0.211, '철원군': 0.189, '철원': 0.155, '한탄강': 0.15}",X
하늘마루 펜션,철원군,"['고석정', '철원', '한탄강']","{'고석정': 0.527, '한탄강': 0.184, '철원': 0.095}",X
고다리조트,철원군,"['강원도', '철원읍', '한탄강']","{'철원읍': 0.184, '한탄강': 0.139, '강원도': 0.076}",X
별비내리는마을펜션,철원군,[],{},X
케렌시아펜션,철원군,"['고석정', '한탄강']","{'한탄강': 0.455, '고석정': 0.174}",X
바위샘펜션,철원군,[],{},X
마이그린 펜션,철원군,"['철원', '한탄강']","{'철원': 0.246, '한탄강': 0.238}",X
새바라기 펜션,철원군,"['철원', '한탄강']","{'철원': 0.238, '한탄강': 0.231}",X
별이든 샘 펜션,철원군,[],{},X
노스텔지아 펜션,철원군,['한탄강'],{'한탄강': 0.14},X
별헤는밤,철원군,['철원'],{'철원': 0.155},X
별헤는밤,평창군,"['대관령', '봉평면', '평창군']","{'봉평면': 0.248, '평창군': 0.212, '대관령': 0.207}",X
오벨리스크,철원군,[],{},X
한탄강 디퍼펜션,철원군,['한탄강'],{'한탄강': 0.187},X
마운틴밸리 펜션,철원군,['한탄강'],{'한탄강': 0.163},X
늘푸른 펜션,철원군,"['고석정', '철원', '한탄강']","{'고석정': 0.426, '철원': 0.192, '한탄강': 0.186}",X
꿈의궁전모텔,철원군,"['강원도', '심원사', '철원', '철원군', '한탄강']","{'심원사': 0.176, '철원군': 0.158, '철원': 0.129, '한탄강': 0.125, '강원도': 0.068}",X
대명관광호텔,철원군,"['강원도', '서면', '철원', '철원군', '한탄강']","{'철원': 0.231, '철원군': 0.141, '서면': 0.122, '한탄강': 0.112, '강원도': 0.061}",X
드림파크모텔,철원군,"['고석정', '철원']","{'고석정': 0.412, '철원': 0.124}",x
춘천베어스관광호텔,춘천시,"['강촌', '남이섬', '춘천']","{'춘천': 0.443, '강촌': 0.138, '남이섬': 0.138}","계단 난간
휠체어 이용 가능
계단 없는 주 출입구
장애인 지원 객실
점자 안내판
"
레고랜드호텔,춘천시,"['공지천', '춘천역', '하중도']","{'하중도': 0.16, '춘천역': 0.147, '공지천': 0.132}",x
에스파스호스텔,춘천시,"['강촌', '남이섬', '명동', '춘천']","{'춘천': 0.282, '명동': 0.218, '강촌': 0.176, '남이섬': 0.176}",x
도도스테이,춘천시,['춘천'],{'춘천': 0.228},x
호텔 인트로,춘천시,"['강촌', '춘천']","{'강촌': 0.547, '춘천': 0.109}",X
강촌 느티나무마을펜션,춘천시,"['봉의동', '춘천', '춘천시', '춘천역']","{'춘천': 0.436, '봉의동': 0.119, '춘천역': 0.103, '춘천시': 0.091}","장애인 주차장 있음(3대), 출입구까지 경사로가 설치되어 있음, 엘리베이터 있음, 장애인 화장실 있음, 음성안내기 있음"
춘천세종호텔,춘천시,"['강촌', '강촌역']","{'강촌역': 0.373, '강촌': 0.284}",X
강촌w펜션,춘천시,['강촌'],{'강촌': 0.267},X
강촌잠빌펜션,춘천시,['춘천'],{'춘천': 0.194},X
수한예,춘천시,"['강원도', '춘천']","{'춘천': 0.172, '강원도': 0.11}",X
해피리버펜션,춘천시,"['남면', '춘천시']","{'남면': 0.233, '춘천시': 0.197}",X
수하늘펜션,춘천시,"['강원', '남이섬', '춘천']","{'남이섬': 0.574, '강원': 0.126, '춘천': 0.115}",X
호텔정관루별관(콘도별장),춘천시,"['강원도', '명동', '춘천']","{'춘천': 0.335, '명동': 0.259, '강원도': 0.107}",X
SH게스트하우스,춘천시,[],{},X
로하스테이,춘천시,[],{},X
한율재,춘천시,"['공지천', '의암호', '춘천']","{'의암호': 0.353, '춘천': 0.24, '공지천': 0.153}","장애인 전용 주차구역 있음, 출입구까지 경사로가 설치되어 있음, 휠체어대여가능, 엘리베이터 있음, 장애인 화장실 있음, 장애인 객실 있음, 식음업장 의자/테이블 있음, 욕실 있음, 점자블록 있음(주출입구), 안내요원 있음, 시각경보기 있음_청각장애인 편의시설"
케이티엔지(KT&G) 상상마당춘천스테이,춘천시,"['강원도', '공지천', '의암호', '춘천']","{'춘천': 0.259, '의암호': 0.191, '공지천': 0.165, '강원도': 0.083}","장애인 주차장 있음, 지하주차장에서 엘리베이터 이용 가능, 엘리베이터 있음, 장애인 객실 있음, 점자안내(엘리베이터 내부), 점자블럭 있음(엘리베이터 앞)"
더잭슨나인스호텔,춘천시,"['강원도', '춘천', '홍천', '화천']","{'춘천': 0.286, '화천': 0.157, '강원도': 0.122, '홍천': 0.097}",X
